Kinshasa,Johannesburg,{}
Kinshasa,Lagos,{}
Kinshasa,Khartoum,{}
Mexico City,Miami,{}
Mexico City,Bogota,{}
Mexico City,Lima,{}
Mexico City,Los Angeles,{}
Mexico City,Chicago,{}
Sydney,Jakarta,{}
Sydney,Los Angeles,{}
Istanbul,Algiers,{}
Istanbul,Cairo,{}
Istanbul,Moscow,{}
Istanbul,Milan,{}
Istanbul,St. Petersburg,{}
Istanbul,Baghdad,{}
Mumbai,Karachi,{}
Mumbai,Chennai,{}
Mumbai,Delhi,{}
Paris,Madrid,{}
Paris,Algiers,{}
Paris,Essen,{}
Paris,London,{}
Paris,Milan,{}
Shanghai,Beijing,{}
Shanghai,Hong Kong,{}
Shanghai,Seoul,{}
Shanghai,Taipei,{}
Shanghai,Tokyo,{}
St. Petersburg,Moscow,{}
St. Petersburg,Essen,{}
Johannesburg,Khartoum,{}
Manila,Ho Chi Minh,{}
Manila,San Francisco,{}
Manila,Hong Kong,{}
Manila,Taipei,{}
Kolkata,Bangkok,{}
Kolkata,Chennai,{}
Kolkata,Hong Kong,{}
San Francisco,Chicago,{}
San Francisco,Los Angeles,{}
San Francisco,Tokyo,{}
Sao Paulo,Bogota,{}
Sao Paulo,Madrid,{}
Sao Paulo,Lagos,{}
Sao Paulo,Buenos Aires,{}
Santiago,Lima,{}
Chennai,Bangkok,{}
Chennai,Jakarta,{}
Seoul,Beijing,{}
Seoul,Tokyo,{}
Delhi,Tehran,{}
Delhi,Karachi,{}
Buenos Aires,Bogota,{}
Khartoum,Cairo,{}
Khartoum,Lagos,{}
Bangkok,Jakarta,{}
Bangkok,Hong Kong,{}
Bangkok,Ho Chi Minh,{}
Baghdad,Tehran,{}
Baghdad,Cairo,{}
Baghdad,Karachi,{}
Baghdad,Riyadh,{}
Taipei,Osaka,{}
Taipei,Hong Kong,{}
Tehran,Karachi,{}
London,Madrid,{}
London,New York,{}
London,Essen,{}
Atlanta,Miami,{}
Atlanta,Washington,{}
Atlanta,Chicago,{}
Hong Kong,Ho Chi Minh,{}
Karachi,Riyadh,{}
Algiers,Madrid,{}
Algiers,Cairo,{}
Ho Chi Minh,Jakarta,{}
Tokyo,Osaka,{}
Miami,Bogota,{}
Miami,Washington,{}
Montreal,New York,{}
Montreal,Washington,{}
Montreal,Chicago,{}
Essen,Milan,{}
Riyadh,Cairo,{}
Bogota,Lima,{}
Washington,New York,{}
New York,Madrid,{}
